-------------------------------------------------|----------|----------|----------|----------|-------------------|
File                                             |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
-------------------------------------------------|----------|----------|----------|----------|-------------------|
All files                                        |    44.45 |    38.01 |    23.39 |    48.59 |                   |
 src                                             |    60.61 |    31.25 |    33.33 |    60.61 |                   |
  build_params.ts                                |    60.61 |    31.25 |    33.33 |    60.61 |... 60,62,64,66,68 |
 src/api                                         |    27.92 |     5.41 |     4.99 |    29.12 |                   |
  app_data_gql.ts                                |     75.9 |      100 |        0 |     91.3 |... 1059,1145,1172 |
  client.ts                                      |    18.34 |     7.39 |     3.66 |    19.03 |... 2243,2249,2250 |
  mock_app_data.ts                               |      100 |      100 |      100 |      100 |                   |
  mock_chat.ts                                   |     3.13 |        0 |        0 |     3.28 |... 1081,1098,1106 |
  mock_client.ts                                 |    41.63 |        0 |    11.39 |    41.63 |... 1817,1822,1825 |
 src/assets                                      |      100 |      100 |      100 |      100 |                   |
  app_strings.ts                                 |      100 |      100 |      100 |      100 |                   |
 src/modules/android_back_button                 |       50 |      100 |        0 |      100 |                   |
  android_back_button_actions.ts                 |       50 |      100 |        0 |      100 |                   |
 src/modules/bill_payments                       |    73.33 |       80 |       40 |    90.91 |                   |
  bill_payments_actions.ts                       |     62.5 |      100 |       25 |      100 |                   |
  bill_payments_reducer.ts                       |    85.71 |       80 |      100 |    85.71 |                12 |
 src/modules/bill_service_details                |       70 |       75 |    33.33 |    77.78 |                   |
  bill_service_details_actions.ts                |       50 |      100 |        0 |    66.67 |                16 |
  bill_service_details_reducer.ts                |    83.33 |       75 |      100 |    83.33 |                10 |
 src/modules/bills                               |    33.16 |    35.48 |    21.43 |    33.33 |                   |
  bills_actions.ts                               |    56.25 |      100 |     12.5 |    72.73 |           9,52,63 |
  bills_client.ts                                |    36.54 |    36.36 |    13.04 |    33.33 |... 52,154,160,161 |
  bills_reducer.ts                               |    85.71 |       80 |      100 |    85.71 |                 9 |
  bills_sagas.ts                                 |    25.62 |       20 |       40 |    25.71 |... 61,262,265,266 |
 src/modules/care_circle                         |    20.98 |     9.76 |       10 |    23.35 |                   |
  care_circle_actions.ts                         |    53.13 |      100 |     6.25 |    66.67 |... 18,140,153,165 |
  care_circle_sagas.ts                           |    15.36 |     5.13 |      8.7 |    16.74 |... 42,848,858,868 |
  care_teams_reducer.ts                          |      100 |      100 |      100 |      100 |                   |
 src/modules/check_network_provider_search       |     43.2 |    41.18 |    23.81 |    45.52 |                   |
  check_network_provider_search_actions.ts       |    58.33 |      100 |    16.67 |    85.71 |             68,98 |
  check_network_provider_search_sagas.ts         |    38.69 |    37.78 |       25 |    38.39 |... 75,376,377,380 |
